ID,Run number,Action Space Size,Algorithm,Time Windows,No. Nodes,Distance,No. Vehicles
A2C_50A_100N_NOTW_5,5,50,A2C,NOTW,100,,
DQN_5A_25N_TW_1,1,5,DQN,TW,25,179.18,6.0
DQN_5A_25N_TW_2,2,5,DQN,TW,25,128.26,3.0
DQN_5A_25N_TW_3,3,5,DQN,TW,25,162.47,6.0
DQN_5A_25N_TW_4,4,5,DQN,TW,25,156.35,4.0
DQN_5A_25N_TW_5,5,5,DQN,TW,25,180.69,5.0
DQN_10A_25N_TW_1,1,10,DQN,TW,25,234.75,5.0
DQN_10A_25N_TW_2,2,10,DQN,TW,25,245.81,7.0
DQN_10A_25N_TW_3,3,10,DQN,TW,25,192.15,4.0
DQN_10A_25N_TW_4,4,10,DQN,TW,25,226.23,4.0
DQN_10A_25N_TW_5,5,10,DQN,TW,25,181.12,4.0
DQN_15A_25N_TW_1,1,15,DQN,TW,25,227.72,5.0
DQN_15A_25N_TW_2,2,15,DQN,TW,25,251.85,7.0
DQN_15A_25N_TW_3,3,15,DQN,TW,25,276.23,8.0
DQN_15A_25N_TW_4,4,15,DQN,TW,25,260.26,7.0
DQN_15A_25N_TW_5,5,15,DQN,TW,25,296.54,7.0
DQN_25A_25N_TW_1,1,25,DQN,TW,25,284.45,4.0
DQN_25A_25N_TW_2,2,25,DQN,TW,25,248.48,4.0
DQN_25A_25N_TW_3,3,25,DQN,TW,25,205.7,7.0
DQN_25A_25N_TW_4,4,25,DQN,TW,25,305.09,9.0
DQN_25A_25N_TW_5,5,25,DQN,TW,25,243.94,6.0
DQN_50A_25N_TW_1,1,50,DQN,TW,25,,
DQN_50A_25N_TW_2,2,50,DQN,TW,25,,
DQN_50A_25N_TW_3,3,50,DQN,TW,25,,
DQN_50A_25N_TW_4,4,50,DQN,TW,25,,
DQN_50A_25N_TW_5,5,50,DQN,TW,25,,
DQN_5A_50N_TW_1,1,5,DQN,TW,50,315.3,6.0
DQN_5A_50N_TW_2,2,5,DQN,TW,50,367.68,9.0
DQN_5A_50N_TW_3,3,5,DQN,TW,50,388.7,8.0
DQN_5A_50N_TW_4,4,5,DQN,TW,50,327.65,5.0
DQN_5A_50N_TW_5,5,5,DQN,TW,50,315.88,8.0
DQN_10A_50N_TW_1,1,10,DQN,TW,50,519.02,10.0
DQN_10A_50N_TW_2,2,10,DQN,TW,50,467.67,11.0
DQN_10A_50N_TW_3,3,10,DQN,TW,50,476.95,11.0
DQN_10A_50N_TW_4,4,10,DQN,TW,50,349.36,5.0
DQN_10A_50N_TW_5,5,10,DQN,TW,50,475.78,11.0
DQN_15A_50N_TW_1,1,15,DQN,TW,50,483.9,9.0
DQN_15A_50N_TW_2,2,15,DQN,TW,50,623.86,14.0
DQN_15A_50N_TW_3,3,15,DQN,TW,50,601.2,8.0
DQN_15A_50N_TW_4,4,15,DQN,TW,50,576.17,12.0
DQN_15A_50N_TW_5,5,15,DQN,TW,50,635.95,17.0
DQN_25A_50N_TW_1,1,25,DQN,TW,50,685.29,8.0
DQN_25A_50N_TW_2,2,25,DQN,TW,50,791.77,7.0
DQN_25A_50N_TW_3,3,25,DQN,TW,50,827.73,15.0
DQN_25A_50N_TW_4,4,25,DQN,TW,50,761.87,19.0
DQN_25A_50N_TW_5,5,25,DQN,TW,50,692.94,20.0
DQN_50A_50N_TW_1,1,50,DQN,TW,50,407.98,8.0
DQN_50A_50N_TW_2,2,50,DQN,TW,50,587.13,16.0
DQN_50A_50N_TW_3,3,50,DQN,TW,50,605.89,13.0
DQN_50A_50N_TW_4,4,50,DQN,TW,50,790.07,12.0
DQN_50A_50N_TW_5,5,50,DQN,TW,50,571.88,9.0
DQN_5A_75N_TW_1,1,5,DQN,TW,75,741.11,17.0
DQN_5A_75N_TW_2,2,5,DQN,TW,75,674.3,11.0
DQN_5A_75N_TW_3,3,5,DQN,TW,75,750.94,14.0
DQN_5A_75N_TW_4,4,5,DQN,TW,75,673.22,12.0
DQN_5A_75N_TW_5,5,5,DQN,TW,75,612.8,14.0
DQN_10A_75N_TW_1,1,10,DQN,TW,75,794.26,11.0
DQN_10A_75N_TW_2,2,10,DQN,TW,75,941.6,15.0
DQN_10A_75N_TW_3,3,10,DQN,TW,75,866.52,13.0
DQN_10A_75N_TW_4,4,10,DQN,TW,75,936.9,18.0
DQN_10A_75N_TW_5,5,10,DQN,TW,75,960.07,13.0
DQN_15A_75N_TW_1,1,15,DQN,TW,75,1198.91,13.0
DQN_15A_75N_TW_2,2,15,DQN,TW,75,954.11,14.0
DQN_15A_75N_TW_3,3,15,DQN,TW,75,979.41,15.0
DQN_15A_75N_TW_4,4,15,DQN,TW,75,913.67,14.0
DQN_15A_75N_TW_5,5,15,DQN,TW,75,949.13,15.0
DQN_25A_75N_TW_1,1,25,DQN,TW,75,1147.72,16.0
DQN_25A_75N_TW_2,2,25,DQN,TW,75,1130.42,18.0
DQN_25A_75N_TW_3,3,25,DQN,TW,75,1183.18,18.0
DQN_25A_75N_TW_4,4,25,DQN,TW,75,1515.5,19.0
DQN_25A_75N_TW_5,5,25,DQN,TW,75,1225.98,13.0
DQN_50A_75N_TW_1,1,50,DQN,TW,75,831.53,13.0
DQN_50A_75N_TW_2,2,50,DQN,TW,75,1195.58,15.0
DQN_50A_75N_TW_3,3,50,DQN,TW,75,1177.82,11.0
DQN_50A_75N_TW_4,4,50,DQN,TW,75,1215.64,14.0
DQN_50A_75N_TW_5,5,50,DQN,TW,75,956.59,15.0
DQN_5A_100N_TW_1,1,5,DQN,TW,100,1007.85,16.0
DQN_5A_100N_TW_2,2,5,DQN,TW,100,939.1,12.0
DQN_5A_100N_TW_3,3,5,DQN,TW,100,920.88,16.0
DQN_5A_100N_TW_4,4,5,DQN,TW,100,950.38,17.0
DQN_5A_100N_TW_5,5,5,DQN,TW,100,954.17,15.0
DQN_10A_100N_TW_1,1,10,DQN,TW,100,1450.29,14.0
DQN_10A_100N_TW_2,2,10,DQN,TW,100,1251.74,19.0
DQN_10A_100N_TW_3,3,10,DQN,TW,100,1444.55,19.0
DQN_10A_100N_TW_4,4,10,DQN,TW,100,1395.56,16.0
DQN_10A_100N_TW_5,5,10,DQN,TW,100,1405.25,14.0
DQN_15A_100N_TW_1,1,15,DQN,TW,100,1316.11,19.0
DQN_15A_100N_TW_2,2,15,DQN,TW,100,1547.84,20.0
DQN_15A_100N_TW_3,3,15,DQN,TW,100,1320.97,19.0
DQN_15A_100N_TW_4,4,15,DQN,TW,100,1601.76,20.0
DQN_15A_100N_TW_5,5,15,DQN,TW,100,1424.14,16.0
DQN_25A_100N_TW_1,1,25,DQN,TW,100,2051.16,19.0
DQN_25A_100N_TW_2,2,25,DQN,TW,100,2024.01,20.0
DQN_25A_100N_TW_3,3,25,DQN,TW,100,1452.74,17.0
DQN_25A_100N_TW_4,4,25,DQN,TW,100,1498.47,20.0
DQN_25A_100N_TW_5,5,25,DQN,TW,100,1626.88,17.0
DQN_50A_100N_TW_1,1,50,DQN,TW,100,2336.2,19.0
DQN_50A_100N_TW_2,2,50,DQN,TW,100,3209.08,16.0
DQN_50A_100N_TW_3,3,50,DQN,TW,100,2468.36,20.0
DQN_50A_100N_TW_4,4,50,DQN,TW,100,1835.89,18.0
DQN_50A_100N_TW_5,5,50,DQN,TW,100,1913.8,18.0
DQN_5A_25N_NOTW_1,1,5,DQN,NOTW,25,,
DQN_5A_25N_NOTW_2,2,5,DQN,NOTW,25,,
DQN_5A_25N_NOTW_3,3,5,DQN,NOTW,25,,
DQN_5A_25N_NOTW_4,4,5,DQN,NOTW,25,,
DQN_5A_25N_NOTW_5,5,5,DQN,NOTW,25,,
DQN_10A_25N_NOTW_1,1,10,DQN,NOTW,25,,
DQN_10A_25N_NOTW_2,2,10,DQN,NOTW,25,,
DQN_10A_25N_NOTW_3,3,10,DQN,NOTW,25,,
DQN_10A_25N_NOTW_4,4,10,DQN,NOTW,25,,
DQN_10A_25N_NOTW_5,5,10,DQN,NOTW,25,,
DQN_15A_25N_NOTW_1,1,15,DQN,NOTW,25,,
DQN_15A_25N_NOTW_2,2,15,DQN,NOTW,25,,
DQN_15A_25N_NOTW_3,3,15,DQN,NOTW,25,,
DQN_15A_25N_NOTW_4,4,15,DQN,NOTW,25,,
DQN_15A_25N_NOTW_5,5,15,DQN,NOTW,25,,
DQN_25A_25N_NOTW_1,1,25,DQN,NOTW,25,,
DQN_25A_25N_NOTW_2,2,25,DQN,NOTW,25,,
DQN_25A_25N_NOTW_3,3,25,DQN,NOTW,25,,
DQN_25A_25N_NOTW_4,4,25,DQN,NOTW,25,,
DQN_25A_25N_NOTW_5,5,25,DQN,NOTW,25,,
DQN_50A_25N_NOTW_1,1,50,DQN,NOTW,25,,
DQN_50A_25N_NOTW_2,2,50,DQN,NOTW,25,,
DQN_50A_25N_NOTW_3,3,50,DQN,NOTW,25,,
DQN_50A_25N_NOTW_4,4,50,DQN,NOTW,25,,
DQN_50A_25N_NOTW_5,5,50,DQN,NOTW,25,,
DQN_5A_50N_NOTW_1,1,5,DQN,NOTW,50,,
DQN_5A_50N_NOTW_2,2,5,DQN,NOTW,50,,
DQN_5A_50N_NOTW_3,3,5,DQN,NOTW,50,,
DQN_5A_50N_NOTW_4,4,5,DQN,NOTW,50,,
DQN_5A_50N_NOTW_5,5,5,DQN,NOTW,50,,
DQN_10A_50N_NOTW_1,1,10,DQN,NOTW,50,,
DQN_10A_50N_NOTW_2,2,10,DQN,NOTW,50,,
DQN_10A_50N_NOTW_3,3,10,DQN,NOTW,50,,
DQN_10A_50N_NOTW_4,4,10,DQN,NOTW,50,,
DQN_10A_50N_NOTW_5,5,10,DQN,NOTW,50,,
DQN_15A_50N_NOTW_1,1,15,DQN,NOTW,50,,
DQN_15A_50N_NOTW_2,2,15,DQN,NOTW,50,,
DQN_15A_50N_NOTW_3,3,15,DQN,NOTW,50,,
DQN_15A_50N_NOTW_4,4,15,DQN,NOTW,50,,
DQN_15A_50N_NOTW_5,5,15,DQN,NOTW,50,,
DQN_25A_50N_NOTW_1,1,25,DQN,NOTW,50,,
DQN_25A_50N_NOTW_2,2,25,DQN,NOTW,50,,
DQN_25A_50N_NOTW_3,3,25,DQN,NOTW,50,,
DQN_25A_50N_NOTW_4,4,25,DQN,NOTW,50,,
DQN_25A_50N_NOTW_5,5,25,DQN,NOTW,50,,
DQN_50A_50N_NOTW_1,1,50,DQN,NOTW,50,,
DQN_50A_50N_NOTW_2,2,50,DQN,NOTW,50,,
DQN_50A_50N_NOTW_3,3,50,DQN,NOTW,50,,
DQN_50A_50N_NOTW_4,4,50,DQN,NOTW,50,,
DQN_50A_50N_NOTW_5,5,50,DQN,NOTW,50,,
DQN_5A_75N_NOTW_1,1,5,DQN,NOTW,75,,
DQN_5A_75N_NOTW_2,2,5,DQN,NOTW,75,,
DQN_5A_75N_NOTW_3,3,5,DQN,NOTW,75,,
DQN_5A_75N_NOTW_4,4,5,DQN,NOTW,75,,
DQN_5A_75N_NOTW_5,5,5,DQN,NOTW,75,,
DQN_10A_75N_NOTW_1,1,10,DQN,NOTW,75,,
DQN_10A_75N_NOTW_2,2,10,DQN,NOTW,75,,
DQN_10A_75N_NOTW_3,3,10,DQN,NOTW,75,,
DQN_10A_75N_NOTW_4,4,10,DQN,NOTW,75,,
DQN_10A_75N_NOTW_5,5,10,DQN,NOTW,75,,
DQN_15A_75N_NOTW_1,1,15,DQN,NOTW,75,,
DQN_15A_75N_NOTW_2,2,15,DQN,NOTW,75,,
DQN_15A_75N_NOTW_3,3,15,DQN,NOTW,75,,
DQN_15A_75N_NOTW_4,4,15,DQN,NOTW,75,,
DQN_15A_75N_NOTW_5,5,15,DQN,NOTW,75,,
DQN_25A_75N_NOTW_1,1,25,DQN,NOTW,75,,
DQN_25A_75N_NOTW_2,2,25,DQN,NOTW,75,,
DQN_25A_75N_NOTW_3,3,25,DQN,NOTW,75,,
DQN_25A_75N_NOTW_4,4,25,DQN,NOTW,75,,
DQN_25A_75N_NOTW_5,5,25,DQN,NOTW,75,,
DQN_50A_75N_NOTW_1,1,50,DQN,NOTW,75,,
DQN_50A_75N_NOTW_2,2,50,DQN,NOTW,75,,
DQN_50A_75N_NOTW_3,3,50,DQN,NOTW,75,,
DQN_50A_75N_NOTW_4,4,50,DQN,NOTW,75,,
DQN_50A_75N_NOTW_5,5,50,DQN,NOTW,75,,
DQN_5A_100N_NOTW_1,1,5,DQN,NOTW,100,,
DQN_5A_100N_NOTW_2,2,5,DQN,NOTW,100,,
DQN_5A_100N_NOTW_3,3,5,DQN,NOTW,100,,
DQN_5A_100N_NOTW_4,4,5,DQN,NOTW,100,,
DQN_5A_100N_NOTW_5,5,5,DQN,NOTW,100,,
DQN_10A_100N_NOTW_1,1,10,DQN,NOTW,100,,
DQN_10A_100N_NOTW_2,2,10,DQN,NOTW,100,,
DQN_10A_100N_NOTW_3,3,10,DQN,NOTW,100,,
DQN_10A_100N_NOTW_4,4,10,DQN,NOTW,100,,
DQN_10A_100N_NOTW_5,5,10,DQN,NOTW,100,,
DQN_15A_100N_NOTW_1,1,15,DQN,NOTW,100,,
DQN_15A_100N_NOTW_2,2,15,DQN,NOTW,100,,
DQN_15A_100N_NOTW_3,3,15,DQN,NOTW,100,,
DQN_15A_100N_NOTW_4,4,15,DQN,NOTW,100,,
DQN_15A_100N_NOTW_5,5,15,DQN,NOTW,100,,
DQN_25A_100N_NOTW_1,1,25,DQN,NOTW,100,,
DQN_25A_100N_NOTW_2,2,25,DQN,NOTW,100,,
DQN_25A_100N_NOTW_3,3,25,DQN,NOTW,100,,
DQN_25A_100N_NOTW_4,4,25,DQN,NOTW,100,,
DQN_25A_100N_NOTW_5,5,25,DQN,NOTW,100,,
DQN_50A_100N_NOTW_1,1,50,DQN,NOTW,100,,
DQN_50A_100N_NOTW_2,2,50,DQN,NOTW,100,,
DQN_50A_100N_NOTW_3,3,50,DQN,NOTW,100,,
DQN_50A_100N_NOTW_4,4,50,DQN,NOTW,100,,
DQN_50A_100N_NOTW_5,5,50,DQN,NOTW,100,,
